"title","author","journal","year"
"Distinctive DNA sequence features define epigenetic longevity of inflammatory memory","CJ Cowley, SM Sajjath, LF Soto-Ugaldi, M Steiger, SB Larsen, T Carroll, ...","Science",2026
"Author Correction: A complex secretory program orchestrated by the inflammasome controls paracrine senescence","JC Acosta, A Banito, T Wuestefeld, A Georgilis, P Janich, JP Morton, ...","Nature Cell Biology",2026
"Identification of a thermogenic target in the dorsal raphe nucleus for weight management in mice","A Moura-Assis, K Plucińska, D Meseguer, A Baleisyte, B Chen, ...","Nature Communications",2026
"HIV-1 Integration Site Determines the Transcriptional Fate and Persistence of Integrated Proviruses","VK Pal, A Danesh, M Canis, TR Dilling, IG Miller, TT Huynh, DC Copertino, ...","bioRxiv",2026
"The conserved N-terminal SANT1-binding domain (SBD) of EZH2 regulates PRC2 activity","AL Patriotis, DW Barrows, Y Soto-Feliciano, LF Khan, M Leboeuf, ...","Genes & Development",2026
"Integration site determines the transcriptional fate and persistence of integrated proviruses","VK Pal, A Danesh, M Canis, RT Dilling, GI Miller, TT Huynh, D Copertino, ...","JOURNAL OF THE INTERNATIONAL AIDS SOCIETY",2026
"Comparative mass spectrometry analysis of high and low centrifugation extracellular vesicle (EV) pellets from healthy urine following Tamm-Horsfall protein removal","D Bielopolski, L Musante, H Molina, D Barrows, S Upson, L Yang, ...","Clinical Proteomics",2026
"Long-term maintenance of H3K27me3 in postmitotic neurons is dispensable for gene expression regulation.","I Laas, MR Paul, N Bhanu, L Feng, EE Govek, BA Garcia, TS Carroll, ...","Biorxiv: the Preprint Server for Biology",2026
"Synovial transcriptional clusters link cartilage degeneration to cell-type-specific gene expression in knee osteoarthritis","MR Mazzucco, B Mehta, J Ruiz-Ortiz, C Hale, F Omi, P Singh, R Yuan, ...","bioRxiv",2026
"Impaired non-shivering thermogenesis in the desert-dwelling antelope ground squirrel","L Olsen, M Albertini, D Barrows, TS Carroll, M Hiller, R Refinetti, ...","bioRxiv",2026
"MED1 IDR deacetylation controls stress responsive genes through RNA Pol II recruitment","R Lin, Y Mo, D Barrows, W Mei, T Onikubo, J Sun, Z Zhang, E Apostolou, ...","Nature Chemical Biology",2026
"Exercise intensity modulates interorgan communication and is associated with cardiometabolic health outcomes in humans","L Olsen, J Botella, D Barrows, E Romero, K Baird, M Katayama, E Kilic, ...","Cell Reports Medicine",2026
"Molecular mechanisms of the MLL4 complex in H3K4 methylation and p53-dependent transcription activation","J Sun, Z Zhang, Y Yu, N Cruz, S Zhang, Y Xiang, K Ito, C Lazarus, Z Tang, ...","Molecular Cell",2026
"A humanized NOVA1 splicing factor alters mouse vocal communications","Y Tajima, CDM Vargas, K Ito, W Wang, JD Luo, J Xing, N Kuru, ...","Nature Communications",2025
"The integrated stress response fine-tunes stem cell fate decisions upon serine deprivation and tissue injury","JSS Novak, L Polak, SC Baksh, DW Barrows, M Schernthanner, ...","Cell metabolism",2025
"ALDH9A1 deficiency as a source of endogenous DNA damage that requires repair by the Fanconi anemia pathway","M Jung, J Kim, Y Park, I Ilyashov, F Yang, HB Choijilsuren, D Keahi, ...","Journal of Cell Biology",2025
"Pronounced early differentiation underlies zebra finch gonadal germ cell development","MT Biegler, K Belay, W Wang, C Szialta, P Collier, JD Luo, B Haase, ...","Developmental biology",2025
"Heterozygosity at a conserved candidate sex determination locus is associated with female development in the clonal raider ant (Ooceraea biroi)","KD Lacy, J Lee, K Rozen-Gagnon, W Wang, TS Carroll, DJC Kronauer","Elife",2025
"Epigenetic mechanisms governing cell type specific somatic expansion and toxicity in Huntington’s disease","M Baffuto, K Mätlik, I Ilyashov, ME Siantoputri, H Chetia, Y Maeda, E Sipos, ...","bioRxiv",2025
"Acute cold exposure in humans shifts the circulating proteome to a cardioprotective and anti-aging profile","K Plucińska, ZZ Chen, R Xiang, S Zaman, L Yan, C Hurson, C Peterson, ...","bioRxiv",2025
"G-quadruplexes as a source of vulnerability in BRCA2-deficient granule cell progenitors and medulloblastoma","DL Keahi, MA Sanders, MR Paul, ALH Webster, Y Fang, TF Wiley, ...","Proceedings of the National Academy of Sciences",2025
"Short chain fatty acids regulate the chromatin landscape and distinct gene expression changes in human colorectal cancer cells","T Kabir, CA Connamacher, Z Nadeem, MR Paul, MR Smutny, ZK Lawler, ...","BioRxiv",2025
"Short-term gonadal cultures are sufficient for germline transmission in a songbird","M Biegler, E Harter, AV Sidhu, C Szialta, G Durham, L Tchernichovski, ...","bioRxiv",2025
"When the Brain's Switchboard Short Circuits: Cell‐Type Specific Molecular Characterization of the Human Thalamus in Alzheimer's Disease","R McLellan, L Kus, DA Davis, TS Carroll, C Pressl, E Siantoputri, N Heintz","Alzheimer's & Dementia",2025
"Short chain fatty acids driven histone modification and differential gene expression pattern in human colorectal cancer Cells","T Kabir, C Connamacher, Z Nadeem, M Paul, M Smutny, Z Lawler, ...","JOURNAL OF BIOLOGICAL CHEMISTRY",2025
"Abstract 2901 Short chain fatty acids driven histone modification and differential gene expression pattern in human colorectal cancer Cells","T Kabir, C Connamacher, Z Nadeem, M Paul, M Smutny, Z Lawler, ...","Journal of Biological Chemistry",2025
"Identification of a Thermogenic Target in the Dorsal Raphe Nucleus for Weight Management","A Moura-Assis, K Plucińska, A Baleisyte, D Meseguer, B Chen, ...","bioRxiv",2025
"Exercise intensity modulates the human plasma secretome and interorgan communication","L Olsen, J Botella, D Barrows, E Romero, K Baird, M Katayama, E Kilic, ...","bioRxiv",2025
"A cellular and molecular basis of leptin resistance","B Tan, K Hedbacker, L Kelly, Z Zhang, A Moura-Assis, JD Luo, ...","Cell Metabolism",2025
"Integrated multi-omics analyses of oral squamous cell carcinoma reveal precision patient stratification and personalized treatment strategies","CS Wu, HP Li, CH Hsieh, YT Lin, IYF Chang, AK Chung, Y Huang, ...","Cancer letters",2025
"Cell-type specific profiling of human entorhinal cortex at the onset of Alzheimer’s disease neuropathology","P Rodriguez-Rodriguez, W Wang, C Tsagkogianni, I Feng, ...","bioRxiv",2025
"Cell-type-specific CAG repeat expansions and toxicity of mutant Huntingtin in human striatum and cerebellum","K Mätlik, M Baffuto, L Kus, AL Deshmukh, DA Davis, MR Paul, TS Carroll, ...","Nature genetics",2024
"Selective vulnerability of layer 5a corticostriatal neurons in Huntington’s disease","C Pressl, K Mätlik, L Kus, P Darnell, JD Luo, MR Paul, AR Weiss, ...","Neuron",2024
"Histone butyrylation in the mouse intestine is mediated by the microbiota and associated with regulation of gene expression","LA Gates, BS Reis, PJ Lund, MR Paul, M Leboeuf, AM Djomo, Z Nadeem, ...","Nature metabolism",2024
"A genome-wide arrayed CRISPR screen identifies PLSCR1 as an intrinsic barrier to SARS-CoV-2 entry that recent virus variants have evolved to resist","J Le Pen, G Paniccia, V Kinast, M Moncada-Velez, AW Ashbrook, ...","PLoS Biology",2024
"Cancer-associated Histone H3 N-terminal arginine mutations disrupt PRC2 activity and impair differentiation","BA Nacev, Y Dabas, MR Paul, C Pacheco, M Mitchener, Y Perez, Y Fang, ...","Nature communications",2024
"ATRX guards against aberrant differentiation in mesenchymal progenitor cells","Y Fang, D Barrows, Y Dabas, TS Carroll, S Singer, WD Tap, BA Nacev","Nucleic Acids Research",2024
"Effect of the DASH diet on the sodium-chloride cotransporter and aquaporin-2 in urinary extracellular vesicles","D Bielopolski, L Musante, EJ Hoorn, H Molina, D Barrows, TS Carrol, ...","American Journal of Physiology-Renal Physiology",2024
"Isolation and molecular profiling of nuclei of specific neuronal types from human cerebral cortex and striatum","C Pressl, M Baffuto, P Darnell, C Wang, TS Carroll, N Heintz, K Mätlik","Current Protocols",2024
"RTF2 controls replication repriming and ribonucleotide excision at the replisome","BA Conti, PD Ruiz, C Broton, NJ Blobel, MC Kottemann, S Sridhar, ...","Nature Communications",2024
"ELAVL3 regulates splicing of RNAs encoding synaptic signaling proteins in D1 and D2 striatal medium spiny neurons","K Irmady, C Scheckel, RA Singer, T Carroll, RB Darnell","bioRxiv",2024
"Role of RNA splicing in Parkinson's disease (PD)","K Irmady, C Hale, R Qadri, J Fak, T Carroll, R Darnell","MOVEMENT DISORDERS",2024
"MED1 IDR acetylation reorganizes the transcription preinitiation complex, rewires 3D chromatin interactions and reprograms gene expression","R Lin, D Barrows, Y Mo, T Onikubo, Z Zhang, RG Roeder","bioRxiv",2024
"Selective Vulnerability of Layer 5a Corticostriatal Neurons in Huntington's Disease","C Pressl, K Mätlik, L Kus, P Darnell, JD Luo, MR Paul, AR Weiss, ...","Neuron",2024
"Neuronal activity rapidly reprograms dendritic translation via eIF4G2: uORF binding","E Hacisuleyman, CR Hale, N Noble, J Luo, JJ Fak, M Saito, J Chen, ...","Nature neuroscience",2024
"A cell autonomous regulator of neuronal excitability modulates tau in Alzheimer’s disease vulnerable neurons","P Rodriguez-Rodriguez, LE Arroyo-Garcia, C Tsagkogianni, L Li, W Wang, ...","Brain",2024
"Astrocyte-derived extracellular matrix proteins regulate synapse remodeling in stress-induced depression","R Zhang, P Rodriguez-Rodriguez, L Medrihan, JC Chang, T Ferraro, ...","bioRxiv",2024
"Oral mucosal breaks trigger anti-citrullinated bacterial and human protein antibody responses in rheumatoid arthritis","RC Brewer, TV Lanz, CR Hale, GD Sepich-Poore, C Martino, AD Swafford, ...","Science translational medicine",2023
"Using a smartwatch and smartphone to assess early Parkinson’s disease in the WATCH-PD study","JL Adams, T Kangarloo, B Tracey, P O’Donnell, D Volfson, RD Latzman, ...","npj Parkinson's Disease",2023
"A molecular switch between mammalian MLL complexes dictates response to Menin–MLL inhibition","YM Soto-Feliciano, FJ Sánchez-Rivera, F Perner, DW Barrows, ...","Cancer discovery",2023
"Blood transcriptomic signatures associated with molecular changes in the brain and clinical outcomes in Parkinson’s disease","K Irmady, CR Hale, R Qadri, J Fak, S Simelane, T Carroll, S Przedborski, ...","Nature communications",2023
"Reconstruction of interactions in the ProtoDUNE-SP detector with Pandora","AA Abud, B Abi, R Acciarri, MA Acero, MR Adames, G Adamov, ...","The European Physical Journal C",2023
"Transcriptional and post-transcriptional control of odorant receptor choice in ants","A Brahma, DD Frank, PDH Pastor, PK Piekarski, W Wang, JD Luo, ...","Current Biology",2023
"Coevolution of the CDCA7-HELLS ICF-related nucleosome remodeling complex and DNA methyltransferases","H Funabiki, IE Wassing, Q Jia, JD Luo, T Carroll","Elife",2023
"Organotypic human lung bud microarrays identify BMP-dependent SARS-CoV-2 infection in lung cells","EA Rosado-Olivieri, B Razooky, J Le Pen, R De Santis, D Barrows, ...","Stem Cell Reports",2023
"Layer 5a corticostriatal projection neurons are selectively vulnerable in Huntington's disease","C Pressl, K Mätlik, L Kus, P Darnell, JD Luo, AR Weiss, W Liguore, ...","bioRxiv: the preprint server for biology",2023
"Altered chromatin occupancy of patient-associated H4 mutants misregulate neuronal differentiation","L Feng, D Barrows, L Zhong, K Mätlik, EG Porter, AM Djomo, I Yau, ...","bioRxiv",2023
"Concordant RNA patterns in Parkinson's disease brain and peripheral blood","K Irmady, C Hale, J Fak, R Qadri, T Carroll, S Przedborski, R Darnell, ...","MOVEMENT DISORDERS",2023
"Regulation of the chromatin landscape and gene expression through the microbiota","LA Gates, BS Reis, PJ Lund, M Leboeuf, M Paul, TS Carroll, BA Garcia, ...","MOLECULAR BIOLOGY OF THE CELL",2023
"Histone bivalency regulates the timing of cerebellar granule cell development","K Mätlik, EE Govek, MR Paul, CD Allis, ME Hatten","Genes and Development",2023
"Proteasome Components in the Low-Centrifugation Pellet of Urinary Extracellular Vesicles: PUB341","D Bielopolski, L Musante, D Barrows, H Molina, JN Tobin, R Kost, ...","Journal of the American Society of Nephrology",2023
"A tissue injury sensing and repair pathway distinct from host pathogen defense","S Liu, YH Hur, X Cai, Q Cong, Y Yang, C Xu, AM Bilate, KAU Gonzales, ...","Cell",2023
"Coevolution of the  CDCA7-HELLS ICF-related nucleosome remodeling complex and DNA methyltransferases","H Funabiki, IE Wassing, Q Jia, JD Luo, TS Carroll","eLife",2023
"Cohesin-dependence of neuronal gene expression relates to chromatin loop length","L Calderon, FD Weiss, JA Beagan, MS Oliveira, R Georgieva, YF Wang, ...","Elife",2022
"Genomic signature of Fanconi anaemia DNA repair pathway deficiency in cancer","ALH Webster, MA Sanders, K Patel, R Dietrich, RJ Noonan, FP Lach, ...","Nature",2022
"Development of an improved inhibitor of Lats kinases to promote regeneration of mammalian organs","NR Kastan, S Oak, R Liang, L Baxt, RW Myers, J Ginn, N Liverton, ...","Proceedings of the National Academy of Sciences",2022
"LRG1 is an adipokine that promotes insulin sensitivity and suppresses inflammation","CHJ Choi, W Barr, S Zaman, C Model, A Park, M Koenen, Z Lin, ...","Elife",2022
"The pupal moulting fluid has evolved social functions in ants","O Snir, H Alwaseem, S Heissel, A Sharma, S Valdés-Rodríguez, ...","Nature",2022
"Pharmacological targeting of glutamatergic neurons within the brainstem for weight reduction","M Schneeberger, NL Brice, K Pellegrino, L Parolari, JT Shaked, KJ Page, ...","Nature Metabolism",2022
